Sno, songs,singer,lyrics,genri,album
87,Radio,Pritam,"khushkhabri aesi mili hai uchhlne lage hum hawa mein puri hui dil ki tamanna badha hi asar tha dua mein khushkhabri aesi mili hai uchhlne lage hum hawa mein puri hui dil ki tamanna badha hi asar tha dua mein banthan ke baal bana ke joota police karwa ke nachenge hum tata thaiya sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara sajan radio.. oo.. bajaike sabhi ko nachaiyo zara sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara O.. mere dil ka khoya sa tukda Lautega ek din kabhi Iska mujhe tha yakeen Iska mujhe tha yakeen, jaana Sadqe mein chaahe lag jaaye isko Saari umar bhi meri Hoga mujhe gham nahi Hoga mujhe gham nahi Afsar ke jaisa aintha Motor-gaadi mein betha Aayega mera sipahiya Sajan Radio… oo… Bajaiyo bajaiyo bajaiyo zara Sajan Radio… oo… Bajai ke sabhi ko nachaiyo zara Sajan Radio… oo… Bajaiyo bajaiyo bajaiyo zara Pa pa pa prrrp prrrp Pa pa pa prrrp prrrp O Kaaka O Mausi O cycle waale bhaiya Ban-than ke baal bana ke Joota polish karwa ke Naachenge hum ta-ta-thaiya sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara sajan radio.. oo.. bajaike sabhi ko nachaiyo zara sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara",,
88,Aaj Ki Party,Pritam,"aye party, o party, aye party party party
aye party, o party, aye party party party
hai celebration naacho dhana-dhan
music bajaao keh do ye sabse
hai celebration naacho dhana-dhan
music bajaao keh do ye sabse
aaj ki party meri taraf se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se

dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo
dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo

machi hai chull, tod ke rule
kare wo step ki gire log daayein baayein
neend bhi gull, jashn hai full
naache jamke ke poora floor hill jaaye
baaz naa aaye, shor machaaye
party jo na kare usko tata bye
machi hai chull, tod ke rule
kare wo step ki gire log daayein baayein
neend bhi gull, jashn hai full
naache jamke ke poora floor hill jaaye
baaz naa aaye, shor machaaye
party jo na kare usko tata bye
hai invitation milke kare fun
aao jahaaz mein ya bharke truck se
aaj ki party meri taraf se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se

dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo
dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo

hai celebration naacho dhana-dhan
music bajaao keh do ye sabse
aaj ki party meri taraf se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se

dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo
dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo

 ",,
89,Selfie Le Le Re,Pritam,"Jai Jai Bajrangbali

Tod de dushman ki nali (x2)

Hey...

Dha tuna tuna baaje danka

London ho ya Lanka

Goonje re chaaron ore (x2)

Aap ki rahe anukampa

Na darr na hi shanka

Nachenge hum chor

Jogi chalaye koi jantar
Khilega tera antar

Tu aaja guru mantar

Ye le le re

Ae le le, ae le, ae le

Ae le le, le le re (x4)

Apna paraya jo bhi le jhappi le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Masti ki tanki me tanik dubki le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Chal beta selfie le le re

(Ae ae ae ae ae...)

Chal beta Selfie le le re

Chal beta Selfie le le re

Chal beta Selfie le le re

Tu meri nautanki tu hi cinema

Tu mere saath gar ho

Tu hi kamaai meri aur tu hi beema

Tu mere saath gar ho o..

Rokegi phir kya mujhe koi seema

Tu mere saath gar ho.. o Rama Rama

Tu meri nautanki tu hi cinema

Tu mere saath gar ho o..

Tu mere sath gar ho le

Magan mann bole,

machak ke hichkole tu le le re

Ae le le, ae le, ae le

Ae le le, le le re (x4)

Apna paraya jo mile jhappi le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Masti ki tanki mein tanik dubki le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Chal beta selfie le le re

(Badshah Rap)

Banda main seedha saada

Na tera na teen main

Mere jaisa na hoga

Chand pe na cheen mein (ae ae ae...)

Kiya wahi jo man ko bhaya

Par kisi ka kabhi bhi dil na dukhaya

Pawan Putra Hanuman ji ki

bhakti mein hoon leen main

Baate na karta badi badi

Koi na maaru tadi tadi

Main apni masti mein hi mast hoon

Duniya dekhe khadi khadi

Rehta hu main bas

Bajrangbali ji ki hi dhun mein hi sadaa

Dil bada rakhte hain jaise Hanuman ji ki ho gadaa

Jaise Hanuman ji ke seene mein

Tum ko Siapati Ram milenge

Seena cheer ke dekho mera tumko Hanuman milenge

Phir bhaiya..

Ae le le, ae le, ae le

Ae le le, le le re ha ha

Ae le le, ae le, ae le

Ae le le, ae le, 1.. 2.. 3.. chabai ki

(Ae le le, ae le, ae le

Ae le le, le le re)

Haule naahi zor se bolo

Le le, le le, le le

Le le, le le le re aahn

Ae le le, ae le, ae le

Ae le le, le le re

Apna paraya jo mile jhappi le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Masti ki tanki mein tanik dubki le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Chal beta Selfie le le re

Jai Jai Bajrangbali

Tod de dushman ki nali (x4)

(Chal beta selfie le le re)

Phonva pe selfie le le re.",,
90,Jai Jai Shivshankar,"Vishal & Shekhar, Benny","Dhoom takit tik takit tik dhin...

(Dhoom ta ta ta dhin ta ta)

To aaj yaar ghar pe ye bol do

Aayenge der se fiqre sab chhod do

Aaj haq se apne hisaab mein

Hum jo karne chale ghalti wo jod lo

To aaj yaar kuch lamho ke liye

Bigdi raahon pe tum pairo ko mod do

Aaj haq se duniya ko bhool ke

Jitne hain qaayde wo saare tod do
Ho khulle ground mein aake

Uccha sound bajaake

Red wala color lagaake

Nachenge hero ban kar

Ho Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Hum aaye bann-thann kar

Ki mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Ho Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

(Tik takit tik takit tik...)

Dhun ke geele geele sur sun ke

Baari baari yahaan jam ke

Aaja desi kamar pe thumke uchaal de

Ho saare sharmaana aaj chhad ke

Zara zara nasha kar ke

Jitni bhi hai sharam dil se nikal de

Apni hi sharton pe nachna

Aaj rangon se koi nahi bachna

Kal Subah tak ab nahi thakna re ho

Ho do do round laga ke

Sau saur pound uda ke

Ho vilaiyti bhang chadha ke

Nachange hero ban kar

Ho Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Hum aaye bann-thann kar

Ki mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Ho Jai Jai Shivshankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Jai Jai Shivshan...

Jai Jai Shiv Jai Jai Shivshan..

Jai Jai Shivshankar...

Aaj mood hai bhayankar

Rang udne do

Rang udne do

Rang udne do...",,
91,Naacho Naacho,Vishal Mishra & Rahul,"Bail Jaise Dhool Uda Ke

Seeng Utha Ke Tum Bhi Nacho

Baaje Jam Ke Taal Dhol

Beta Raju Udd Ke Nacho

Teeron Se Bhi Tez Koyi

Kar Sake Jo Bhed Nacho

Astabal Mein Ghode Jaise

Baag Dor Chhod Naacho

Mitti Jota Rot Mota

Mircha Khake Aise NachoHaan Aaja Chhore

Haan Aaja Gore

Haan Aaja Chhore

Naacho Naacho Naacho Naacho

Naacho Naacho Veere Naacho

Naacho Naacho Naacho Naacho

Naacho Naacho Yaara Naacho

Naacho Naacho Naacho

Kachi Kairi Jaise Khatta Naacho

Naacho Naacho Naacho

Bichhu Kaata Laage Aisa Naacho

Goonje Dhol Aise Dekho

Dhan Dhana Ke Rogi Nache

Shor Sunlo Hai Dhamaka

Jaise Sher Hathi Nache

Dekho Dil Ka Yeh Mela

Yaara Apne Sath Naacho

Aediyon Ke Zoron Pe

Dhoom Dhadaka Desi Naacho

Ho Paseena Mathe Ka

Chamke Dhamke Aise Naacho

Haan Aaja Chhore

Haan Aaja Gore

Haan Aaja Chhore

Naacho Naacho Naacho Naacho

Naacho Naacho Veere Naacho

Naacho Naacho Naacho Naacho

Naacho Naacho Yaara Naacho

Naacho Naacho Naacho

Aa Dubara Raag Chheda Naacho

Naacho Naacho Naacho

Usne Chakha Laage Teekha Naacho

Dugu Dugu Dugu Hey Hey

Dugu Dugu Dugu Hey Hey

Dugu Dugu Dugu Hey Hey

Jhoome Gaanv Hai Rela

Uncha Paaon Yun Patka

Hai Yeh Desi Ik Mela

Kaisa Raha Yakayaki

Naacho Naacho Naacho

Oho

Naacho

Arey Dhoom Dhoom Thirke Ja

Paaon Mein Jaan Jaga

Dhumak Dhumak Nache Ja

Duniya Hila De Saari

Naacho Naacho Naacho

Naacho Dhinka Chika Hey Hey

Naacho Naacho Naacho Naacho

Naacho Naacho Naacho

Haan Wahi

Kanakara Kanakara Hey Hey Hey

Kanakara Nakara Nakara

Nakara Nakara Nakara Nakara",,
92,Dosti,"Amit Trivedi, MM Kreem","Yaari mein kahin mausam kahaan

Isamein toh hai dum

Kabhi na bhula jo saath hum jaise koyi tufaan

Din ya raat din kaise hota hai

Har waqt woh karate hai hum jo dil karata hai

Kya jaane duniya hai

Kitane cool hum

Har pal jeete hain kal ka kyun gum

Tak dhin tak dhin de ya (x4)

(Har din dosti pehle, har dum dosti chaahe

Har pal dosti ko hum apani ada maane) (x2)

Abhi toh nahi hum hai jawaan kyun soche hum

Samajh abhi aayi kahaan kyun samajhe hum

Din raat raat din sabhi hamaare

Waqt ki raftaar mein kabhi nahi haare

Kya jaane duniya hai kitane cool hum

Har pal jite hain kal ka kyun gum

Tak dhin tak dhin de ya (x4)

(Har din dosti pehle, har dum dosti chaahe

Har pal dosti ko hum apani ada maane) (x2)

Har pal dosti ko hum apani ada maane (x2)",,
93,Shish Nawata Hoon,Jubin Nautiyal,"Jahan parvat garv sikhatein hain

Jahan unche neeche sab raste

Bas bhakti ke sur mein gaate hain

Jahan pavan bahe sankalp liye

Jahan parvat garv sikhatein hain

Jahan pavan bahe sankalp liye

Jahan parvat garv sikhatein hain

Jahan unche neeche sab raste

Bhakti ke sur mein gaate hain

Uss devbhoomi ke dhyan se

Main dhany dhany ho jata hoon

Uss devbhoomi ke dhyan se

Main dhanye dhanye ho jata hoon

Hai bhagy mera saubhagy mera

Main Tumko Shish Navata Hoon

Main Tumko Shish Navata Hoon

Aur dhanye dhanye ho jata hoon

Main Tumko Shish Navata Hoon

Aur dhanye dhanye ho jata hoon

Ho jaata hoon ho jaata hoon

Mandve ki roti aur hudke ki thaap

Har ek mann karta Shivji ka jaap

Rishi muniyon ki hai yeh tapobhoomi

Itne veeron ki yeh janmbhoomi

Tum aanchal ho bharat ka

Jeevan ki dhoop mein chhanv tum

Tum aanchal ho bharat ka

Jeevan ki dhoop mein chhanv tum

Bas chhune se tar jaye

Sabse pavitr woh paanv ho tum",,
94,Namo Namo, Amit Trivedi | Amitabh B,"Namo Namo

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]

Is desk ke tukde tukde karna koi chahega[male]

Ya dusmana koi apna agr hamse takrayega[female]

Sagon he is miti ki sar uska dhada se kat jayega Namo Namo[male]

Namo Namo Namo Namo[male] [female]

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]

Kali rati kali sirat kala dhan hat jaye
Aaj ke dar me des hamara new india kehlaye[female]

Chapana inch ka sina tane sarhat par wo jaye

Na ghabaraye najane kitne dusman mar giraye[male]

Fir bhi hartarf se atanki baj na aaye[female]

Chup ke pith pe bar kare or pulwama doharaye[male]

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]

Naya dur naye umag naya jos dikhlaya

Sat sal me hua nehi jo panch sal karjaye[female]

Apni maako lut lutke darbadar jo bhatkaye

Pucho to bhai dusro ko chor wo batalaye[male]

Bahat hogayi julm ke aage ab na jhukege[female]

Badte kadam bikas ke apne ab na rokenge

Jo khud mit jaye des ko mitne na de tum usko chuno[male]

Namo Namo Namo Namo[male] [female]

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]",,
95,Ram Siya Ram,Poonam Thakkar | Shabbir Ahmed | Sidhika Sharma,"Kaushlya Dashrath Ke Nandan

Ram Lalat Pe Shobhit Chandan

Raghupati Ki Jai Bole Lakshman

Ram Siya Ka Ho Abhinandan

Anjani Putr Padhe Hain Charan Mein

Ram Siya Japte Tan Man Mein

Mangal Bhavan Amangal Haari

Drabahu Sudasarath Achar Bihari

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Mere Tan Man Dhandkan Mein

Siya Ram Ram Hai

Man Mandir Ke Darpan Mein

Siya Ram Ram Hai

Tu Hi Siya Ka Ram

Radha Ka Tu Hi Shyam

Janamo Janam Ka Hi Ye Sath Hai

Mira Ka Tu Bhajan

Bhajate Hari Pavan

Tulsi Mein Bhi Likhi Ye Baat Hai

Mangal Bhavan Amangal Haari

Drabahu Sudasarath Achar Bihari

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Mangal Bhavan Amangal Haari

Mangal Bhavan Amangal Haari

Drabahu Sudasarath Achar Bihari

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram",,
96,Deva Deva,Pritam | Arijit | Amitabh | Jonita,"Chingariyan Yeh Jo Mere
Seene Mein Hai Dafan
Inko Zara Deke Hawa
Ban Jaaun Main Agan
Chingariyan Yeh Jo Mere
Seene Mein Hai Dafan
Inko Zara Deke Hawa
Ban Jaaun Main Agan
Dahak Raha Hai Banke Sharara
Dekh Mera Badan
Sab Kuchh Mera Karke Fanaa
Karta Hoon Main Hawan
Om Deva Deva
Om Deva Deva Namah
Namho Namah
Om Deva Deva
Om Deva Deva Namah
Namho Namah Om
Mehsoos Khud Ko Maine Kiya
Jab Toone Chhua
Om Deva Deva
Om Deva Deva Namah
Namho Namah Om
Namho Namho Namho Namho
Namho Namho Namho Namho
Ishq Humara Nahi Yeh Fitoor Hai
Rishta Puraana Koyi Toh Zaroor Hai
Aake Mile Hain Usi Ke Toh Vaaste
Yeh Raaste Yeh Raaste
Hmm Tu Hai Hawaon Ka Jhonka
Main Aag Hoon
Tu Raagdaari Hai Meri
Main Raag Hoon
Main Jee Raha Hoon
Tere Intezaar Mein
Aavaaz De Aavaaz De
Teri Saraye Dhoondh Raha Tha
Mera Banjara Man
Sab Kuchh Mera Karke Fanaa
Karta Hoon Main Hawan
Om Deva Deva
Om Deva Deva Namah
Namho Namah
Om Deva Deva
Om Deva Deva Namah
Namho Namah Om
Mehsoos Khud Ko Maine Kiya
Jab Toone ChhuaOm Deva Deva
Om Deva Deva Namah
Namho Namah Om
Namho Namho Namho Namho
Namho Namho Namho Namho..",,
97,Shree Krishna Govind Hare Murari,Maanya Arora,"Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Pitu Maat Swami Sakha Humare

Pitu Maat Swami Sakha Humare

Hey Nath Narayan Vasudeva

Shri Krishna Govind
Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Thakur hamaare praanon

se pyaare

Tum ho hamaare ham

hai tumhaare

He nath narayan vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Gaiyaan charaiya

maakan churaiya

Gaiyaan charaiya

maakan churaiya

Deenon kii naiya ke tum

hi kivaiyaa

Hey Nath Narayan Vasudeva

Govind mero hai gopal

mero hai

Govind mero hai gopal

mero hai

Shri banke bihari

nandlaal

mero hai

Govind mero hai gopal

mero hai

Shri banke bihari nandlaal

mero hai

Govind mero hai gopal

mero hai

Govind mero hai gopal

mero hai

Shri banke bihari

nandlaal

mero hai

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Tumse hai dharti

tumse hai ambar

Agni pawan or saaton

samandar

He nath narayan vasudeva

Shri krishna govind

hare murari

He nath narayan vasudeva

Govind bolo hari gopal bolo

Govind bolo hari gopal bolo

Radharaman hari govind bolo

Govind bolo hari gopal bolo

Govind bolo hari gopal bolo

Radharaman hari govind bolo

Govind bolo hari gopal bolo",,
98,O Paalanhaare,A.R. Rahman,"O palanhare, nirgun aur nyare
Tumare bin hamara kaunon nahee
Hamaree uljhan suljhao bhagwan,
Tumare bin hamara kaunon nahee
Tumhe hamaka ho sambhale,
tumhe hamare rakhwale
Tumare bin hamara kaunon nahee
Tumare bin hamara kaunon nahee

Tumare bin hamara kaunon nahee

Chanda me tumhe toh bhare ho chandni,
Suraj me ujala tumhe se
Yeh gagan hai magan,
Tumhe toh diye ho isse tare
Bhagwan yeh jivan
Tumhe naa sanwaroge,
toh kya koee sanware

O palanhare nirgun aur nyare,
tumare bin hamara kaunon nahee

tumare bin hamara kaunon nahee
Jo suno toh, kahe,
prabhuji hamaree hai binati,
dukhi jan ko, dhiraj do,
Hare nahee woh kabhee dukh se
Tum nirbal ko raksha do,
reh paye nirbal sukh se
Bhakti ko shakti do
Bhakti ko shakti do
Jag ke jo swami ho, itani toh araj suno
Hai path me andhiyare,
dedo vardan me ujiyare

O palanhare, nirgun aur nyare
Tumare bin hamara kaunon nahee
Hamaree uljhan suljhao bhagwan,
Tumare bin hamara kaunon nahee
O palanhare, nirgun aur nyare
Tumare bin hamara kaunon nahee
Hamaree uljhan suljhao bhagwan,
Tumare bin hamara kaunon nahee

O palanhare....
....
O palanhare...",,
99,BESABRIYAAN,Armaan Malik,"Raaste bhaage

Paanv se aage

Zindagi se chal

Kuch aur bhi maange (x2)

Kyun sochna hai jaana kahaan

Jaaye wahin le jaaye jahaan

Besabriyaan, besabriyaan

Besabriyaan, besabriyaan...

Kadmon pe tere baadal jhukenge

Jab tak tujhe ehsaas hai
Jaageer teri tera khajana

Ye tishnagi hai

Ye pyaas hai

Kyun rokna ab ye kaarvan

Jaaye wahin le jaaye jahaan

Besabriyaan, besabriyaan

Besabriyaan, besabriyaan...

Kya ye ujaale

Kya ye andhere

Dono se aage hai manzar tere

Kyun roshni tu baahar talaashe

Teri mashaale hain ander tere..

Kyun dhoondna pairon ke nishaan

Jaaye wahin le jaaye jahaan

Besabriyaan, besabriyaan

Besabriyaan, o.. besabriyaan...
",,
100,Mehrama,Pritam | Darshan Raval,"Toota dil ya maine kisi ka toda hai.

Chor gya ya mainy kisi ko chora hai.

Ek ka jwaab nai hazaron hi sawal hain

Ajeeb woh azeez jo mere sath tha khush

Nai mera bina behal hai

Raat ko so ni pata sar mera ghomta hai

Paas me baith ke koi sar mera choomta hai.

Ye tu nai ye teri rooh hai,

Teri rooh se aati meri khushboo hai.

Tu paas nahi paas toh bitha liya hai
Tune chor diya tujhe maine tujhe paa liya hai

Mujhe bhoolna tha bhool na tum pati ho.

Yaadein sath jayen meri jahan jahan jati ho.

Raaz tere dil me par khol na pati ho

Zuban cheeni dard ne kuch bol na pati ho

Mehrma ve mehrma ve mehrma

Ishq ch dub na mere sikh le tairna

Mehrma ve mehrma ve mehrma

Pajda hi reha mere kolon hun sikh le thairna

Jeene ke dikhawe me rooz khud ko marti ho

Teri meri photos dekh ke din guzarti ho

Maya hai sab jana sab dikhawa hai

Mai kyu khush kyu tujhe pachtava hai

Mai toh toota hu toote ko kon tod sakta hai

Usi ne choda jo kehta tujhe kon chor sakta hai.

Ho gya jo hona tha honi ko kon taal sakta hai

Mere jaisa ishq kon teri rooh me daal sakta hai

Tu galat nhi na tera koi kasoor hai.

Dil ke badle me dhokha dastoor hai.

Tu Buri nahi na teri majboori hai

Tune jane ko kaha mujhe kabool dori hai.

Nafa nahi mainy wafa nibhhai hai

Peeche ni aya maine izzat bachai hai.

Dil kyu toda ye swaal na kiya hai.

Tujhe jane dia maine koi bawal na kia hai.

Mehal tijoriyon gadiyan bhi de payenge

Jisam tera choom ke khreed bhi woh le payenge

Par Jannat se utre farishte bhi jana

Mere jaisa pyaar tumhe kabhi na de payenge

Jisam ke raste se ruh teri chui hai

Is liye aaj tu udaas baithi hui hai

Mohobbat mohobbat mohobbat

Adhoori reh gayi teri meri muqamal hui hai

Mehrma ve mehrma ve mehrma

Ishq ch doob na mere sikh le tairna

Mehrma ve mehrma ve mehrma

Pajda hi reha mere kolon hun sikh le thairna
",,
101,Aankhein, Vilen,"aankhen, vo baaten, teree ye saansen mere zahan se ab jaen na khvaabon mein ja ke, hans ke, sharma ke mere zahan se le jaen jaan, haan tere dil kee kahaaniyon kee main banoon raat deevaanee re sochoon tere bin agar zindagee bah de aankh se paanee re baanhon mein baanhen, teree ye aahen mere hokar ye rah jaen, haan aankhen, vo baaten, teree mulaaqaaten mere zahan se le jaen jaan, haan ho, meree jaan kare na choree teree aankhon kee ye rangolee meree aan kaheen ja chhupatee hai jab sunatee hai teree thodee ho, meree jaan kare na choree ho, teree aankhon kee ye rangolee ho, meree aan kaheen ja chhupatee hai jab sunatee hai teree thodee kabhee kah de jo dhadakanen meree na ho baat puraanee re ho jaoon main teree fir se vahee naee-naee deevaanee re raahon mein kaanten, qadamon ko bhaapen bas ab ham par ye kar pae na aankhen, vo baaten, teree mulaaqaaten mere zahan se le jaen jaan, ho",,
102,Achyutam Keshavam,Alka Yagnik,"achutam keshavam krushna damodaram achutam keshavam krushna damodaram ram narayanam janki ballabham ram narayanam janki ballabham kaun kahata he bhagavan aate nahim kaun kahata he bhagavan aate nahim tum mira ke jaise bulaate nahim tum mira ke jaise bulaate nahim achutam keshavam krushna damodaram, achutam keshavam krushna damodaram, ram narayanam janki ballabham . ram narayanam janki ballabham . kaun kahata hai bhagavan khate nahim, kaun kahata hai bhagavan khate nahim, ber shabari ke jaise khilate nahim . ber shabari ke jaise khilate nahim . achutam keshavam krushna damodaram, achutam keshavam krushna damodaram ram narayanam janki ballabham . ram narayanam janki ballabham . kaun kahata hai bhagavan sote nahim, kaun kahata hai bhagavan sote nahim, maan yashoda ke jaise sulaate nahim . maan yashoda ke jaise sulaate nahim . achutam keshavam krushna damodaram, achutam keshavam krushna damodaram, ram narayanam janki ballabham . ram narayanam janki ballabham . kaun kahata hai bhagavan nachate nahim, kaun kahata hai bhagavan nachate nahim, gopiyom ki tarah tum nachate nahim . gopiyom ki tarah tum nachate nahim achutam keshavam krushna damodaram achutam keshavam krushna damodaram ram narayanam janki ballabham ram narayanam janki ballabham",,
